Site,Date,Color,Temp_C
Wildcat,2021-09-26,White,1.25
Wildcat,2021-09-27,Black,0.949999988
Wildcat,2021-09-27,White,1
Wildcat,2021-09-28,Black,0.799999982
Wildcat,2021-09-28,White,0.900000006
Wildcat,2021-09-29,Black,0.75
Wildcat,2021-09-29,White,0.900000006
Wildcat,2021-09-30,Black,0.650000006
Wildcat,2021-09-30,White,0.849999994
Wildcat,2021-11-22,Black,4.074999928
Wildcat,2021-11-22,White,2.624999985
Wildcat,2021-11-23,Black,3.800000047
Wildcat,2021-11-23,White,2.675000047
Wildcat,2021-11-24,Black,5.125
Wildcat,2021-11-24,White,3.474999964
Wildcat,2021-11-25,Black,3.024999902
Wildcat,2021-11-25,White,0.550000042
Wildcat,2021-11-26,Black,3.875000015
Wildcat,2021-11-26,White,2.45000007
Wildcat,2021-11-27,Black,6.200000018
Wildcat,2021-11-27,White,4.325000077
Wildcat,2021-11-28,Black,6.399999887
Wildcat,2021-11-28,White,4.350000024
Wildcat,2021-11-29,Black,5.675000072
Wildcat,2021-11-29,White,3.824999988
Wildcat,2021-11-30,Black,5.724999905
Wildcat,2021-11-30,White,3.800000012
Wildcat,2021-12-01,Black,6.224999905
Wildcat,2021-12-01,White,4.25
Wildcat,2021-12-02,Black,5.975000173
Wildcat,2021-12-02,White,4.050000072
Wildcat,2021-12-03,Black,5.200000107
Wildcat,2021-12-03,White,3.449999988
Wildcat,2021-12-04,Black,3.050000006
Wildcat,2021-12-04,White,1.874999965
Wildcat,2021-12-05,Black,6.375
Wildcat,2021-12-05,White,4.925000072
Wildcat,2021-12-06,Black,2.649999976
Wildcat,2021-12-06,White,2.074999988
Wildcat,2021-12-07,Black,3.799999893
Wildcat,2021-12-07,White,2.949999958
Wildcat,2021-12-08,Black,5.300000072
Wildcat,2021-12-08,White,4.174999893
Wildcat,2021-12-09,Black,3.325000048
Wildcat,2021-12-09,White,2.525000006
Wildcat,2021-12-10,Black,2.666666667
Wildcat,2021-12-10,White,1.766666681
Wildcat,2021-12-11,Black,2.733333329
Wildcat,2021-12-11,White,2.266666691
Wildcat,2021-12-12,Black,5.949999889
Wildcat,2021-12-12,White,5.083333333
Wildcat,2021-12-13,Black,5.883333206
Wildcat,2021-12-13,White,5.316666722
Wildcat,2021-12-14,Black,4.766666651
Wildcat,2021-12-14,White,4.433333317
Wildcat,2021-12-15,Black,1.083333326
Wildcat,2021-12-15,White,0.866666662
Wildcat,2021-12-16,Black,2.98333325
Wildcat,2021-12-16,White,1.416666657
Wildcat,2021-12-17,Black,3.766666671
Wildcat,2021-12-17,White,2.733333309
Wildcat,2021-12-18,Black,1.95
Wildcat,2021-12-18,White,0.600000004
Wildcat,2021-12-19,Black,0.633333332
Wildcat,2021-12-19,White,0.25
Wildcat,2021-12-20,Black,4.533333282
Wildcat,2021-12-20,White,1.649999999
Wildcat,2021-12-21,Black,2.100000003
Wildcat,2021-12-21,White,0.299999991
Wildcat,2021-12-22,Black,3.899999986
Wildcat,2021-12-22,White,1.500000001
Wildcat,2021-12-23,Black,4.733333309
Wildcat,2021-12-23,White,3.666666667
Wildcat,2021-12-24,Black,4.100000064
Wildcat,2021-12-24,White,2.950000008
Wildcat,2021-12-25,Black,1.983333349
Wildcat,2021-12-25,White,1.400000016
Wildcat,2021-12-26,Black,1.116666665
Wildcat,2021-12-26,White,0.816666673
Wildcat,2021-12-27,Black,0.716666674
Wildcat,2021-12-27,White,0.416666659
Wildcat,2021-12-28,Black,0.066666661
Wildcat,2021-12-28,White,-0.333333323
Wildcat,2021-12-29,Black,-0.316666661
Wildcat,2021-12-29,White,-0.600000005
Wildcat,2021-12-30,Black,1.24E-09
Wildcat,2021-12-30,White,-0.583333342
Wildcat,2021-12-31,Black,-0.700000002
Wildcat,2021-12-31,White,-1.200000017
Wildcat,2022-01-01,Black,-2.200000018
Wildcat,2022-01-01,White,-2.962499979
Wildcat,2022-01-02,Black,-3.549999952
Wildcat,2022-01-02,White,-4.600000054
Wildcat,2022-01-03,Black,-3.087500035
Wildcat,2022-01-03,White,-3.387500046
Wildcat,2022-01-04,Black,0.275000002
Wildcat,2022-01-04,White,0.212500003
Wildcat,2022-01-05,Black,0.85
Wildcat,2022-01-05,White,0.550000008
Wildcat,2022-01-06,Black,0.412500007
Wildcat,2022-01-06,White,0.40000001
Wildcat,2022-01-07,Black,3.025000015
Wildcat,2022-01-07,White,2.187499978
Wildcat,2022-01-08,Black,3.325000055
Wildcat,2022-01-08,White,1.837500009
Wildcat,2022-01-09,Black,0.849999992
Wildcat,2022-01-09,White,0.474999995
Wildcat,2022-01-10,Black,0.225000007
Wildcat,2022-01-10,White,-0.1125
Wildcat,2022-01-11,Black,0.337500008
Wildcat,2022-01-11,White,-0.087499996
Wildcat,2022-01-12,Black,0.337499995
Wildcat,2022-01-12,White,-0.449999966
Wildcat,2022-01-13,Black,0.725
Wildcat,2022-01-13,White,-0.299999982
Wildcat,2022-01-14,Black,5.150000192
Wildcat,2022-01-14,White,0.450000007
Wildcat,2022-01-15,Black,0.400000013
Wildcat,2022-01-15,White,0.250000007
